threshold,accuracy,precision,recall,f1_score,true_negative,false_positive,false_negative,true_positive,missed_scrap_cost,false_alarm_cost,total_cost
0.4,0.7832,0.1604,0.4831,0.2409,936,225,46,43,4600.0,2250.0,6850.0
0.35,0.7072,0.1365,0.5843,0.2213,832,329,37,52,3700.0,3290.0,6990.0
0.45,0.8296,0.1737,0.3708,0.2366,1004,157,56,33,5600.0,1570.0,7170.0
0.5,0.868,0.2031,0.2921,0.2396,1059,102,63,26,6300.0,1020.0,7320.0
0.3,0.5616,0.1117,0.7416,0.1941,636,525,23,66,2300.0,5250.0,7550.0
0.25,0.3384,0.0891,0.8989,0.1621,343,818,9,80,900.0,8180.0,9080.0
0.2,0.1352,0.0753,0.9888,0.14,81,1080,1,88,100.0,10800.0,10900.0
